scenario_id,grid,dt,steps,x_true,y_true,Q_true,Q_analytic,Q_numerical,sensor_mse,numerical_success,numerical_nfev,numerical_seconds,analytic_numerical_difference,signed_Q_error,absolute_Q_error,relative_Q_error,signed_relative_Q_error,linearity_relative_l2,runtime_seconds,amplitude_ratio,rms_ratio,relative_observation_l2,signed_observation_bias,normalized_signed_bias
diagnostic_v2_006,201,0.00025,3200,0.4649788924345678,0.25204180298655204,0.9896690170728504,0.9557546225436856,0.9557546225436928,9.351659879401362e-09,True,5,0.0007109169964678586,7.216449660063518e-15,-0.03391439452916478,0.03391439452916478,0.03426842100147136,-0.03426842100147136,1.6389611118706477e-15,1.6554997909697704,1.035105611910154,1.03529499658235,0.04030516254947236,9.379892660830179e-05,0.018551926218861058
diagnostic_v2_006,321,0.000125,6400,0.4649788924345678,0.25204180298655204,0.9896690170728504,0.9742135731626205,0.9742135731626215,1.9733896014116927e-09,True,5,0.001730583026073873,9.992007221626409e-16,-0.015455443910229905,0.015455443910229905,0.01561678060402715,-0.01561678060402715,3.730381753321338e-15,6.534624417021405,1.0157861128078607,1.0158253224190636,0.018134498947413237,4.2150998358341006e-05,0.008336792753085359
diagnostic_v2_007,101,0.001,800,0.5400299139051506,0.621292821755324,0.814105194585913,0.8369581560023226,0.8369581560980017,9.896696568866667e-07,True,10,0.0016452090349048376,9.567913128449845e-11,0.02285296141640958,0.02285296141640958,0.028071263478466713,0.028071263478466713,6.59782673027564e-16,0.1615635000052862,0.9723425662264743,0.9725188752782181,0.033284085077729925,-0.00022539873611717858,-0.004314097416872745
diagnostic_v2_007,201,0.00025,3200,0.5400299139051506,0.621292821755324,0.814105194585913,0.823486201533484,0.8234862015334838,1.6967157907335996e-07,True,6,0.0007533750031143427,-1.1102230246251565e-16,0.009381006947570936,0.009381006947570936,0.011523089411488765,0.011523089411488765,3.773701790937467e-15,1.8684143330319785,0.9885467312015613,0.9885774549003755,0.01385358921656771,-9.273832691300515e-05,-0.0017749974266603873
diagnostic_v2_007,321,0.000125,6400,0.5400299139051506,0.621292821755324,0.814105194585913,0.8184019472303699,0.8184019472303699,3.549601431788262e-08,True,6,0.0011148749617859721,0.0,0.004296752644456836,0.004296752644456836,0.005277883832497027,0.005277883832497027,4.91153502299006e-15,6.877408499945886,0.9947368908577998,0.9947433583959274,0.006369250914268157,-4.298919057436345e-05,-0.0008228065480983718
diagnostic_v2_008,101,0.001,800,0.259487609100411,0.2766427005502588,0.926443887930336,0.9342878032702723,0.934287803270338,1.1216701279780064e-06,True,5,0.001373334031086415,6.572520305780927e-14,0.007843915339936225,0.007843915339936225,0.00846669230821894,0.00846669230821894,7.17963672135541e-16,0.15075154096120968,0.9913674201398956,0.9914858983563841,0.0175910875097279,-2.285748766998474e-06,-3.336367819610222e-05
diagnostic_v2_008,201,0.00025,3200,0.259487609100411,0.2766427005502588,0.926443887930336,0.9297322717329,0.9297322717330009,2.0182557506658144e-07,True,6,0.0007536249468103051,1.0091927293842673e-13,0.00328838380256391,0.00328838380256391,0.003549468937519916,0.003549468937519916,3.6926725557868916e-15,2.258466249972116,0.9964202374568522,0.9964416611139068,0.007450442251138169,-2.6925602541592798e-06,-3.930165691890555e-05
diagnostic_v2_008,321,0.000125,6400,0.259487609100411,0.2766427005502588,0.926443887930336,0.9278870736312671,0.9278870736312669,4.1541647025560264e-08,True,6,0.0017642920138314366,-2.220446049250313e-16,0.001443185700931049,0.001443185700931049,0.0015577691425598453,0.0015577691425598453,2.2796896098578826e-15,6.693640791985672,0.9984358168558365,0.9984402352820765,0.003357040133158834,8.70671231506757e-08,1.2708656000169618e-06
diagnostic_v2_009,101,0.001,800,0.6431663433219396,0.656518575413083,0.8898098806974829,0.88353822127693,0.8835382212813973,2.8101031030892823e-07,True,8,0.001424332964234054,4.467204384184242e-12,-0.006271659420552855,0.006271659420552855,0.007048313978753278,-0.007048313978753278,1.069823837992457e-15,0.21314437501132488,1.0068032091623356,1.0069507664408952,0.018531802697927896,0.00016181500710832174,0.005225561416381085
diagnostic_v2_009,201,0.00025,3200,0.6431663433219396,0.656518575413083,0.8898098806974829,0.887057512692695,0.8870575126961452,4.828322359838753e-08,True,7,0.0008960830164141953,3.450240093627599e-12,-0.002752368004787953,0.002752368004787953,0.003093209082630654,-0.003093209082630654,4.494942178072856e-15,1.470597915991675,1.0030522975668488,1.0030775518217718,0.007744664941877977,6.751705672421071e-05,0.0021803572664275102
